,Reaction,ModelSEED_id,MetaNetX,KEGG_id,ecNumber,Substrates,Substrate Name,Substrate SMILE
37,2HATVLACtepp,,,,,['2hatvlac[c]'],['2-hydroxy-atorvastatin-lactone / ortho-hydroxy-atorvastatin lactone'],[None]
38,2HATVLACtex,,,,,['2hatvlac[e]'],['2-hydroxy-atorvastatin-lactone / ortho-hydroxy-atorvastatin lactone'],[None]
39,2HBO,rxn00741,MNXR94796,R01000,1.1.1.27,"['2hb[c]', 'nad[c]']","['2-Hydroxybutyrate', 'Nicotinamide adenine dinucleotide']","['CCC(C(=O)O)O', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N']"
40,2HIBUPGLU_St2pp,,,,,"['2hibupglu_S[p]', 'h[p]']","['2-hydroxy S-ibuprofen-glucuronide', 'proton']","[None, '[H+]']"
41,2HIBUPGLU_Stex,,,,,['2hibupglu_S[e]'],['2-hydroxy S-ibuprofen-glucuronide'],[None]
42,2HIBUP_S_GLCAASE,,,,,"['2hibupglu_S[c]', 'h2o[c]']","['2-hydroxy S-ibuprofen-glucuronide', 'Water']","[None, 'O']"
43,2HIBUP_Stepp,,,,,['2hibup_S[c]'],['2-hydroxy-S-ibuprofen'],[None]
44,2HIBUP_Stex,,,,,['2hibup_S[e]'],['2-hydroxy-S-ibuprofen'],[None]
45,2HYOXPLACt2rpp,,,,,"['2hyoxplac[p]', 'h[p]']","['2-Hydroxyphenylacetate', 'proton']","['C1=CC=C(C(=C1)CC(=O)O)O', '[H+]']"
46,2HYOXPLACtex,,,,,['2hyoxplac[e]'],['2-Hydroxyphenylacetate'],['C1=CC=C(C(=C1)CC(=O)O)O']
47,2IMZS,rxn42709,,,,"['amet[c]', 'nadph[c]', 'tyr_L[c]']","['S-Adenosyl-L-methionine', 'Nicotinamide adenine dinucleotide phosphate - reduced', 'L-tyrosine']","['C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O', 'C1=CC(=CC=C1CC(C(=O)O)N)O']"
48,2INSD,rxn02007,MNXR73960,,4.2.1.44,['2ins[c]'],['2-Inosose'],['C1(C(C(C(=O)C(C1O)O)O)O)O']
49,2IPDPIPT,rxn07841,,,,"['atp[c]', 'dmpp[c]', 'h[c]']","['ATP', 'Dimethylallyl diphosphate', 'proton']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'CC(=CCOP(=O)(O)OP(=O)(O)O)C', '[H+]']"
50,2MBCOATA,rxn05358,MNXR53357,,2.3.1.180,"['2mbcoa[c]', 'ACP[c]']","['2-methylbutanoyl-CoA(4-)', 'acyl carrier protein']","['CCC(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O', None]"
51,2OBUTt2rpp,,,,,"['2obut[p]', 'h[p]']","['2-Oxobutanoate', 'proton']","['CCC(=O)C(=O)[O-]', '[H+]']"
52,2OBUTtex,,,,,['2obut[e]'],['2-Oxobutanoate'],['CCC(=O)C(=O)[O-]']
53,2OH_CBZ_GLC_GLCAASE,,,,,"['2oh_cbz_glc[c]', 'h2o[c]']","['2-Hydroxy Carbamazepine Glucuronide', 'Water']","[None, 'O']"
54,2OH_CBZ_GLCt2pp,,,,,"['2oh_cbz_glc[p]', 'h[p]']","['2-Hydroxy Carbamazepine Glucuronide', 'proton']","[None, '[H+]']"
55,2OH_CBZ_GLCtex,,,,,['2oh_cbz_glc[e]'],['2-Hydroxy Carbamazepine Glucuronide'],[None]
56,2OH_CBZtepp,,,,,['2oh_cbz[c]'],['2-Hydroxycarbamazepine'],['C1=CC=C2C(=C1)C=CC3=C(N2C(=O)N)C=CC(=C3)O']
57,2OH_CBZtex,,,,,['2oh_cbz[e]'],['2-Hydroxycarbamazepine'],['C1=CC=C2C(=C1)C=CC3=C(N2C(=O)N)C=CC(=C3)O']
58,2OH_MTZ_GLC_GLCAASE,,,,,"['2oh_mtz_glc[c]', 'h2o[c]']","['2-Hydroxymetronidazole Glucuronide', 'Water']","[None, 'O']"
59,2OH_MTZ_GLCt2pp,,,,,"['2oh_mtz_glc[p]', 'h[p]']","['2-Hydroxymetronidazole Glucuronide', 'proton']","[None, '[H+]']"
60,2OH_MTZ_GLCtex,,,,,['2oh_mtz_glc[e]'],['2-Hydroxymetronidazole Glucuronide'],[None]
61,2OH_MTZtepp,,,,,['2oh_mtz[c]'],['2-Hydroxymetronidazole'],['C1=C(N(C(=N1)CO)CCO)[N+](=O)[O-]']
62,2OH_MTZtex,,,,,['2oh_mtz[e]'],['2-Hydroxymetronidazole'],['C1=C(N(C(=N1)CO)CCO)[N+](=O)[O-]']
63,2OMMBOX,rxn04139,MNXR60025,,1.14.13.-,"['2ommb[c]', 'nadph[c]', 'o2[c]']","['2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone', 'Nicotinamide adenine dinucleotide phosphate - reduced', 'O2']","['CC1=C(C(=O)C(=CC1=O)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O', 'O=O']"
64,2OMPHH,rxn12224,MNXR80794,,1.14.13.-,"['2omph[c]', 'o2[c]']","['2-Octaprenyl-6-methoxyphenol', 'O2']","['CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC=C1)OC)O)C)C)C)C)C)C)C)C', 'O=O']"
65,2S6HCC,rxn04675,MNXR27537,,"4.2.99.20,2.2.1.9","['akg[c]', 'h[c]', 'ichor[c]']","['2-Oxoglutarate', 'proton', 'Isochorismate']","['C(CC(=O)O)C(=O)C(=O)O', '[H+]', 'C=C(C(=O)O)OC1C=CC=C(C1O)C(=O)O']"
66,34DHOXPEGOX,rxn03333,MNXR94833,R04880,1.1.1.1,"['34dhmald[c]', 'h[c]', 'nadh[c]']","['3,4-Dihydroxymandelaldehyde', 'proton', 'Nicotinamide adenine dinucleotide - reduced']","['C1=CC(=C(C=C1C(C=O)O)O)O', '[H+]', None]"
67,34HPPOR,rxn01827,MNXR94843,R02521,1.13.11.27,"['34hpp[c]', 'o2[c]']","['3-(4-hydroxyphenyl)pyruvate', 'O2']","['C1=CC(=CC=C1CC(=O)C(=O)[O-])O', 'O=O']"
68,34HPPORdc,rxn11349,,,,"['34hpp[c]', 'o2[c]']","['3-(4-hydroxyphenyl)pyruvate', 'O2']","['C1=CC(=CC=C1CC(=O)C(=O)[O-])O', 'O=O']"
69,3CARLPDH,rxn02376,MNXR79613,,1.2.4.2,"['HC01435[c]', 'lpam[c]']","['3-Carboxy-1-hydroxypropyl-ThPP', 'lipoamide']","['CC1=C(SC(=[N+]1CC2=CN=C(N=C2N)C)C(CCC(=O)O)O)CCOP(=O)(O)OP(=O)(O)O', 'C1CSSC1CCCCC(=O)N']"
70,3DGUR,rxn01912,MNXR5409,,1.1.1.130,"['3dhguln[c]', 'nadp[c]']","['3-dehydro-L-gulonate', 'Nicotinamide adenine dinucleotide phosphate']","['C(C(C(C(=O)C(C(=O)O)O)O)O)O', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N']"
71,3FCHDCOR,rxn07899,,,,"['3fch1c[c]', 'nad[c]']","['3-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate', 'Nicotinamide adenine dinucleotide']","['C1=CC(C(C(=C1)F)O)(C(=O)O)O', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N']"
72,3HACOAOR,rxn03860,,,,"['hmpsuccoa[c]', 'nad[c]']","['(Hydroxymethylphenyl)succinyl-CoA', 'Nicotinamide adenine dinucleotide']","['CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C(CC(=O)O)C(C4=CC=CC=C4)O)O', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N']"
73,3HACPR1,,,,,['3hgACPm[c]'],['3-hydroxyglutaryl-ACP methyl ester'],[None]
74,3HACPR2,,,,,['3hpACPm[c]'],['3-hydroxypimeloyl-ACP methyl ester'],[None]
75,3HAD10M12,rxn05373,MNXR27647,,4.2.1.59,['10m3hddcaACP[c]'],['10-methyl-3-hydroxy-dodecanoyl-ACP'],[None]
76,3HAD11M12,rxn05398,MNXR27672,,4.2.1.59,['11m3hddcaACP[c]'],['11-methyl-3-hydroxy-dodecanoyl-ACP'],[None]
77,3HAD12M14,rxn05377,MNXR27651,,4.2.1.59,['12m3hmyrsACP[c]'],['12-methyl-3-hydroxy-tetra-decanoyl-ACP'],[None]
78,3HAD13M14,rxn05402,MNXR27676,,4.2.1.59,['13m3hmyrsACP[c]'],['13-methyl-3-hydroxy-tetra-decanoyl-ACP'],[None]
79,3HAD14M16,rxn05381,MNXR27655,,4.2.1.59,['14m3hpalmACP[c]'],['14-methyl-3-hydroxy-hexa-decanoyl-ACP'],[None]
80,3HAD15M16,rxn05406,MNXR27680,,4.2.1.59,['15m3hpalmACP[c]'],['15-methyl-3-hydroxy-hexa-decanoyl-ACP'],[None]
81,3HAD4M6,rxn05361,MNXR27635,,4.2.1.59,['4m3hhexACP[c]'],['4-methyl-3-hydroxy-hexanoyl-ACP'],[None]
82,3HAD5M6,rxn05386,MNXR27660,,4.2.1.59,['5m3hhexACP[c]'],['5-methyl-3-hydroxy-hexanoyl-ACP'],[None]
83,3HAD6M8,rxn05365,MNXR27639,,4.2.1.59,['6m3hocACP[c]'],['6-methyl-3-hydroxy-octanoyl-ACP'],[None]
84,3HAD7M8,rxn05390,MNXR27664,,4.2.1.59,['7m3hocACP[c]'],['7-methyl-3-hydroxy-octanoyl-ACP'],[None]
85,3HAD8M10,rxn05369,MNXR27643,,4.2.1.59,['8m3hdcaACP[c]'],['8-methyl-3-hydroxy-decanoyl-ACP'],[None]
86,3HAD9M10,rxn05394,MNXR27668,,4.2.1.59,['9m3hdcaACP[c]'],['9-methyl-3-hydroxy-decanoyl-ACP'],[None]
87,3HBCOAE,rxn02345,MNXR6494,,5.1.2.3,['3hbcoa[c]'],['(S)-3-hydroxybutanoyl-CoA(4-)'],['CC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O)O']
88,3HCINNMH,rxn04602,MNXR156,,1.14.13.-,"['3hcinnm[c]', 'h[c]', 'nadh[c]', 'o2[c]']","['3-hydroxycinnamic acid', 'proton', 'Nicotinamide adenine dinucleotide - reduced', 'O2']","['C1=CC(=CC(=C1)O)C=CC(=O)O', '[H+]', None, 'O=O']"
89,3HIBUPGLU_St2pp,,,,,"['3hibupglu_S[p]', 'h[p]']","['3-hydroxy S-ibuprofen-glucuronide', 'proton']","[None, '[H+]']"
90,3HIBUPGLU_Stex,,,,,['3hibupglu_S[e]'],['3-hydroxy S-ibuprofen-glucuronide'],[None]
91,3HIBUP_S_GLCAASE,,,,,"['3hibupglu_S[c]', 'h2o[c]']","['3-hydroxy S-ibuprofen-glucuronide', 'Water']","[None, 'O']"
92,3HIBUP_Stepp,,,,,['3hibup_S[c]'],['3-hydroxy S-ibuprofen'],[None]
93,3HIBUP_Stex,,,,,['3hibup_S[e]'],['3-hydroxy S-ibuprofen'],[None]
94,3HPCOAHL,rxn02181,,,,['3hpcoa[c]'],['3-hydroxypropanoyl-CoA(4-)'],['CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])C(C(=O)NCCC(=O)NCCSC(=O)CCO)O']
95,3HPPD,rxn01174,MNXR161,,1.1.1.59,"['3hpp[c]', 'nad[c]']","['3-hydroxypropionate', 'Nicotinamide adenine dinucleotide']","['C(CO)C(=O)[O-]', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N']"
96,3HPPPNH,rxn04601,MNXR162,,1.14.13.-,"['3hpppn[c]', 'h[c]', 'nadh[c]', 'o2[c]']","['3-(3-hydroxy-phenyl)propionate', 'proton', 'Nicotinamide adenine dinucleotide - reduced', 'O2']","[None, '[H+]', None, 'O=O']"
97,3MEACMPtepp,,,,,['3meacmp[c]'],['3-methoxy-acetaminophen'],['CC(=O)NC1=CC(=C(C=C1)O)OC']
98,3MEACMPtex,,,,,['3meacmp[e]'],['3-methoxy-acetaminophen'],['CC(=O)NC1=CC(=C(C=C1)O)OC']
99,3MOBS,rxn00902,MNXR3135,,"2.3.3.13,4.1.3.12","['3c3hmp[c]', 'coa[c]', 'h[c]']","['3-Carboxy-3-hydroxy-4-methylpentanoate', 'Coenzyme A', 'proton']","['CC(C)C(CC(=O)O)(C(=O)O)O', 'CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O', '[H+]']"
100,3OAACPR1,,,,,"['3ogACPm[c]', 'h[c]', 'nadph[c]']","['3-ketoglutaryl-ACP methyl ester', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","[None, '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']"
101,3OAACPR2,,,,,"['3opACPm[c]', 'h[c]', 'nadph[c]']","['3-ketopimeloyl-ACP methyl ester', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","[None, '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']"
102,3OAR100,rxn05338,MNXR68183,,1.1.1.100,"['3odecACP[c]', 'h[c]', 'nadph[c]']","['3-Oxodecanoyl-[acyl-carrier protein]', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","[None, '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']"
103,3OAR10M11,rxn05422,MNXR27696,,1.1.1.100,"['10m3oundecACP[c]', 'h[c]', 'nadph[c]']","['10-methyl-3-oxo-undecanoyl-ACP', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","[None, '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']"
104,3OAR10M12,rxn05372,MNXR27646,,1.1.1.100,"['10m3oddcaACP[c]', 'h[c]', 'nadph[c]']","['10-methyl-3-oxo-dodecanoyl-ACP', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","[None, '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']"
105,3OAR11M12,rxn05397,MNXR27671,,1.1.1.100,"['11m3oddcaACP[c]', 'h[c]', 'nadph[c]']","['11-methyl-3-oxo-dodecanoyl-ACP', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","[None, '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']"
106,3OAR120,rxn05340,MNXR68184,,1.1.1.100,"['3oddecACP[c]', 'h[c]', 'nadph[c]']","['3-Oxododecanoyl-[acyl-carrier protein]', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","[None, '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']"
107,3OAR12M13,rxn05426,MNXR27700,,1.1.1.100,"['12m3otridecACP[c]', 'h[c]', 'nadph[c]']","['12-methyl-3-oxo-tridecanoyl-ACP', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","[None, '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']"
108,3OAR12M14,rxn05376,MNXR27650,,1.1.1.100,"['12m3omyrsACP[c]', 'h[c]', 'nadph[c]']","['12-methyl-3-oxo-tetra-decanoyl-ACP', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","[None, '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']"
109,3OAR13M14,rxn05401,MNXR27675,,1.1.1.100,"['13m3omyrsACP[c]', 'h[c]', 'nadph[c]']","['13-methyl-3-oxo-tetra-decanoyl-ACP', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","[None, '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']"
110,3OAR140,rxn05342,MNXR68185,,1.1.1.100,"['3omrsACP[c]', 'h[c]', 'nadph[c]']","['3-Oxotetradecanoyl-[acyl-carrier protein]', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","[None, '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']"
111,3OAR14M15,rxn05430,MNXR27704,,1.1.1.100,"['14m3opentdecACP[c]', 'h[c]', 'nadph[c]']","['14-methyl-3-oxo-pentadecanoyl-ACP', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","[None, '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']"
112,3OAR14M16,rxn05380,MNXR27654,,1.1.1.100,"['14m3opalmACP[c]', 'h[c]', 'nadph[c]']","['14-methyl-3-oxo-hexa-decanoyl-ACP', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","[None, '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']"
113,3OAR15M16,rxn05405,MNXR27679,,1.1.1.100,"['15m3opalmACP[c]', 'h[c]', 'nadph[c]']","['15-methyl-3-oxo-hexa-decanoyl-ACP', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","[None, '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']"
114,3OAR160,rxn05336,MNXR68186,,1.1.1.100,"['3opalmACP[c]', 'h[c]', 'nadph[c]']","['3-Oxohexadecanoyl-[acyl-carrier protein]', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","[None, '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']"
