,Reaction,Name,ModelSEED_id,MetaNetX,KEGG_id,KEGG_id2,BIGG_id,Substrates,Substrate Name,Substrate SMILE,ecNumber
40,3HAD11M12,11-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase,rxn05398,MNXR27672,None,None,None,['11m3hddcaACP[c]'],['11-methyl-3-hydroxy-dodecanoyl-ACP'],[None],4.2.1.59
41,3HAD120,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0),rxn05331,MNXR68168,None,R04965,3HAD120; HDDHL5,['3hddecACP[c]'],['(R)-3-Hydroxydodecanoyl-[acyl-carrier protein]'],[None],"[['2.3.1.-', '2.3.1.85', '2.3.1.86', '4.2.1.58', '4.2.1.59', '4.2.1.60', '4.2.1.61'], None]"
42,3HAD12M13,12-methyl-3-hydroxy-tridecanoyl-ACP hydro-lyase,rxn05427,MNXR27701,None,None,None,['12m3htridecACP[c]'],['12-methyl-3-hydroxy-tridecanoyl-ACP'],[None],4.2.1.59
43,3HAD12M14,12-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase,rxn05377,MNXR27651,None,None,None,['12m3hmyrsACP[c]'],['12-methyl-3-hydroxy-tetra-decanoyl-ACP'],[None],4.2.1.59
44,3HAD13M14,13-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase,rxn05402,MNXR27676,None,None,None,['13m3hmyrsACP[c]'],['13-methyl-3-hydroxy-tetra-decanoyl-ACP'],[None],4.2.1.59
45,3HAD140,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0),rxn05335,MNXR68170,None,R04568,3HAD140,['3hmrsACP[c]'],['(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]'],[None],"[['2.3.1.-', '2.3.1.85', '2.3.1.86', '4.2.1.59', '4.2.1.61']]"
46,3HAD14M15,14-methyl-3-hydroxy-pentadecanoyl-ACP hydro-lyase,rxn05431,MNXR27705,None,None,None,['14m3hpentdecACP[c]'],['14-methyl-3-hydroxy-pentadecanoyl-ACP'],[None],4.2.1.59
47,3HAD14M16,14-methyl-3-hydroxy-hexa-decanoyl-ACP hydro-lyase,rxn05381,MNXR27655,None,None,None,['14m3hpalmACP[c]'],['14-methyl-3-hydroxy-hexa-decanoyl-ACP'],[None],4.2.1.59
48,3HAD15M16,15-methyl-3-hydroxy-hexa-decanoyl-ACP hydro-lyase,rxn05406,MNXR27680,None,None,None,['15m3hpalmACP[c]'],['15-methyl-3-hydroxy-hexa-decanoyl-ACP'],[None],4.2.1.59
49,3HAD160,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0),rxn05332,MNXR68172,None,R04544,3HAD160,['3hpalmACP[c]'],['R-3-hydroxypalmitoyl-[acyl-carrier protein]'],[None],"[['2.3.1.-', '2.3.1.85', '2.3.1.86', '4.2.1.59', '4.2.1.61']]"
50,3HAD180,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0),rxn05462,MNXR27736,None,None,None,['3hoctaACP[c]'],['(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein]'],[None],4.2.1.59
51,3HAD40,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0),rxn05329,MNXR71008,None,R04428,HBUHL1,['3haACP[c]'],['(3R)-3-Hydroxyacyl-[acyl-carrier protein]'],[None],[None]
52,3HAD4M5,4-methyl-3-hydroxy-pentanoyl-ACP hydro-lyase,rxn05411,MNXR27685,None,None,None,['4m3hpentACP[c]'],['4-methyl-3-hydroxy-pentanoyl-ACP'],[None],4.2.1.59
53,3HAD4M6,4-methyl-3-hydroxy-hexanoyl-ACP hydro-lyase,rxn05361,MNXR27635,None,None,None,['4m3hhexACP[c]'],['4-methyl-3-hydroxy-hexanoyl-ACP'],[None],4.2.1.59
54,3HAD5M6,5-methyl-3-hydroxy-hexanoyl-ACP hydro-lyase,rxn05386,MNXR27660,None,None,None,['5m3hhexACP[c]'],['5-methyl-3-hydroxy-hexanoyl-ACP'],[None],4.2.1.59
55,3HAD60,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0),rxn05330,MNXR68177,None,R04954,3HAD60; HHYHL2,['3hhexACP[c]'],['(R)-3-Hydroxyhexanoyl-[acyl-carrier protein]'],[None],"[['2.3.1.-', '2.3.1.85', '2.3.1.86', '4.2.1.58', '4.2.1.59'], None]"
56,3HAD6M7,6-methyl-3-hydroxy-heptanoyl-ACP hydro-lyase,rxn05415,MNXR27689,None,None,None,['6m3hheptACP[c]'],['6-methyl-3-hydroxy-heptanoyl-ACP'],[None],4.2.1.59
57,3HAD6M8,6-methyl-3-hydroxy-octanoyl-ACP hydro-lyase,rxn05365,MNXR27639,None,None,None,['6m3hocACP[c]'],['6-methyl-3-hydroxy-octanoyl-ACP'],[None],4.2.1.59
58,3HAD7M8,7-methyl-3-hydroxy-octanoyl-ACP hydro-lyase,rxn05390,MNXR27664,None,None,None,['7m3hocACP[c]'],['7-methyl-3-hydroxy-octanoyl-ACP'],[None],4.2.1.59
59,3HAD80,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0),rxn05334,MNXR68178,None,R04537,3HAD80; HOCHL3,['3hoctACP[c]'],['(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]'],[None],"[['2.3.1.-', '2.3.1.85', '2.3.1.86', '4.2.1.58', '4.2.1.59', '4.2.1.61'], None]"
60,3HAD8M10,8-methyl-3-hydroxy-decanoyl-ACP hydro-lyase,rxn05369,MNXR27643,None,None,None,['8m3hdcaACP[c]'],['8-methyl-3-hydroxy-decanoyl-ACP'],[None],4.2.1.59
61,3HAD8M9,8-methyl-3-hydroxy-nonanoyl-ACP hydro-lyase,rxn05419,MNXR27693,None,None,None,['8m3hnonACP[c]'],['8-methyl-3-hydroxy-nonanoyl-ACP'],[None],4.2.1.59
62,3HAD9M10,9-methyl-3-hydroxy-decanoyl-ACP hydro-lyase,rxn05394,MNXR27668,None,None,None,['9m3hdcaACP[c]'],['9-methyl-3-hydroxy-decanoyl-ACP'],[None],4.2.1.59
63,3HIBUPGLU_Stex,3-hydroxy S-ibuprofen-glucuronide diffusion extracellular to periplasm,None,None,None,None,None,['3hibupglu_S[e]'],['3-hydroxy S-ibuprofen-glucuronide'],[None],None
64,3HIBUP_S_GLCAASEepp,"3-hydroxy S-ibuprofen beta-glucuronidase  extracellular, periplasmatic",None,None,None,None,None,"['3hibupglu_S[p]', 'h2o[p]']","['3-hydroxy S-ibuprofen-glucuronide', 'Water']","[None, 'O']",None
65,3HIBUP_Stex,3-hydroxy S-ibuprofen diffusion extracellular to periplasm,None,None,None,None,None,['3hibup_S[e]'],['3-hydroxy S-ibuprofen'],[None],None
66,3MEACMPtex,3-methoxy-acetaminophen diffusion extracellular to periplasm,None,None,None,None,None,['3meacmp[e]'],['3-methoxy-acetaminophen'],['CC(=O)NC1=CC(=C(C=C1)O)OC'],None
67,3MOBS,3-methyl-2-oxobutanoate synthase,rxn00902,MNXR3135,None,R01213,IPPS; IPPSm; LEU4,"['3c3hmp[c]', 'coa[c]', 'h[c]']","['3-Carboxy-3-hydroxy-4-methylpentanoate', 'Coenzyme A', 'proton']","['CC(C)C(CC(=O)O)(C(=O)O)O', 'CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O', '[H+]']","[['2.3.3.13'], ['2.3.3.13'], None]"
68,3OAACPR1,3-ketoacyl-ACP-reductase (FabG),None,None,None,None,None,"['3ogACPm[c]', 'h[c]', 'nadph[c]']","['3-ketoglutaryl-ACP methyl ester', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","[None, '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']",None
69,3OAACPR2,3-ketoacyl-ACP-reductase (FabG),None,None,None,None,None,"['3opACPm[c]', 'h[c]', 'nadph[c]']","['3-ketopimeloyl-ACP methyl ester', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","[None, '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']",None
70,3OAR100,3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0),rxn05338,MNXR68183,None,R04534,3OAR100; HDER4; HDER4r,"['3odecACP[c]', 'h[c]', 'nadph[c]']","['3-Oxodecanoyl-[acyl-carrier protein]', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","[None, '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']","[['1.1.1.100', '2.3.1.-', '2.3.1.85', '2.3.1.86'], None, None]"
71,3OAR10M11,10-methyl-3-oxo-undecanoyl-ACPNADP+ oxidoreductase,rxn05422,MNXR27696,None,None,None,"['10m3oundecACP[c]', 'h[c]', 'nadph[c]']","['10-methyl-3-oxo-undecanoyl-ACP', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","[None, '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']",1.1.1.100
72,3OAR10M12,10-methyl-3-oxo-dodecanoyl-ACPNADP+ oxidoreductase,rxn05372,MNXR27646,None,None,None,"['10m3oddcaACP[c]', 'h[c]', 'nadph[c]']","['10-methyl-3-oxo-dodecanoyl-ACP', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","[None, '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']",1.1.1.100
73,3OAR11M12,11-methyl-3-oxo-dodecanoyl-ACPNADP+ oxidoreductase,rxn05397,MNXR27671,None,None,None,"['11m3oddcaACP[c]', 'h[c]', 'nadph[c]']","['11-methyl-3-oxo-dodecanoyl-ACP', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","[None, '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']",1.1.1.100
74,3OAR120,3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0),rxn05340,MNXR68184,None,R04964,3OAR120; HDDR5,"['3oddecACP[c]', 'h[c]', 'nadph[c]']","['3-Oxododecanoyl-[acyl-carrier protein]', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","[None, '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']","[['1.1.1.100', '2.3.1.-', '2.3.1.85', '2.3.1.86'], None]"
75,3OAR12M13,12-methyl-3-oxo-tridecanoyl-ACPNADP+ oxidoreductase,rxn05426,MNXR27700,None,None,None,"['12m3otridecACP[c]', 'h[c]', 'nadph[c]']","['12-methyl-3-oxo-tridecanoyl-ACP', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","[None, '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']",1.1.1.100
76,3OAR12M14,12-methyl-3-oxo-tetra-decanoyl-ACPNADP+ oxidoreductase,rxn05376,MNXR27650,None,None,None,"['12m3omyrsACP[c]', 'h[c]', 'nadph[c]']","['12-methyl-3-oxo-tetra-decanoyl-ACP', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","[None, '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']",1.1.1.100
77,3OAR13M14,13-methyl-3-oxo-tetra-decanoyl-ACPNADP+ oxidoreductase,rxn05401,MNXR27675,None,None,None,"['13m3omyrsACP[c]', 'h[c]', 'nadph[c]']","['13-methyl-3-oxo-tetra-decanoyl-ACP', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","[None, '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']",1.1.1.100
78,3OAR140,3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0),rxn05342,MNXR68185,None,R04566,3OAR140; HTDR6,"['3omrsACP[c]', 'h[c]', 'nadph[c]']","['3-Oxotetradecanoyl-[acyl-carrier protein]', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","[None, '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']","[['1.1.1.100', '2.3.1.-', '2.3.1.85', '2.3.1.86'], None]"
79,3OAR14M15,14-methyl-3-oxo-pentadecanoyl-ACPNADP+ oxidoreductase,rxn05430,MNXR27704,None,None,None,"['14m3opentdecACP[c]', 'h[c]', 'nadph[c]']","['14-methyl-3-oxo-pentadecanoyl-ACP', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","[None, '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']",1.1.1.100
80,3OAR14M16,14-methyl-3-oxo-hexa-decanoyl-ACPNADP+ oxidoreductase,rxn05380,MNXR27654,None,None,None,"['14m3opalmACP[c]', 'h[c]', 'nadph[c]']","['14-methyl-3-oxo-hexa-decanoyl-ACP', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","[None, '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']",1.1.1.100
81,3OAR15M16,15-methyl-3-oxo-hexa-decanoyl-ACPNADP+ oxidoreductase,rxn05405,MNXR27679,None,None,None,"['15m3opalmACP[c]', 'h[c]', 'nadph[c]']","['15-methyl-3-oxo-hexa-decanoyl-ACP', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","[None, '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']",1.1.1.100
82,3OAR160,3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0),rxn05336,MNXR68186,None,R04543,3OAR160; HHDR7,"['3opalmACP[c]', 'h[c]', 'nadph[c]']","['3-Oxohexadecanoyl-[acyl-carrier protein]', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","[None, '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']","[['1.1.1.100', '2.3.1.-', '2.3.1.85', '2.3.1.86'], None]"
83,3OAR180,3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0),rxn05461,MNXR27735,None,None,None,"['3ooctdACP[c]', 'h[c]', 'nadph[c]']","['3-Oxooctadecanoyl-[acyl-carrier protein]', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","[None, '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']",1.1.1.100
84,3OAR40,3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0),rxn05339,MNXR74285,None,R04533,HBUR1,"['actACP[c]', 'h[c]', 'nadph[c]']","['Acetoacetyl-ACP', 'proton', 'Nicotinamide adenine dinucleotide phosphate - reduced']","[None, '[H+]', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O']",[None]
