organism,kingdom,phylum,class,order,family,genus,oxygenstat,metabolism,gram,mtype,genes,reactions,metabolites,draftcreator,draftcreated,platform,species,file,ncbiid,kbaseid,seedid,taxa_id,imgid,phenotype,id,summary_rank
Pseudomonas aeruginosa NCGM2.S1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Aerobe,"Strictly respiratory, amino acids, carbohydrates and fatty acids utilized",Negative,Opportunistic pathogen,1242.0,1629.0,1138.0,Eugen Bauer,08/03/14,Kbase,aeruginosa,aeruginosa.json,1089456.0,,Pseudomonas aeruginosa NCGM2.S1 (1089456.3),287.0,2511231165.0,1.0,aeruginosa,species
Streptococcus agalactiae A909,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Pathogen,639.0,1286.0,939.0,Laura Kutt,04/18/16,Kbase,agalactiae,agalactiae.json,205921.0,kb|g.352,Streptococcus agalactiae A909 (205921.3),1311.0,637000286.0,,agalactiae,species
Pantoea agglomerans IG1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,Facultative anaerobe,"fermentative, respiratory",Negative,,1229.0,1757.0,1207.0,,,Kbase,agglomerans,agglomerans.json,1110694.0,kb|g.24285,Pantoea agglomerans IG1 (1110694.4),549.0,,,agglomerans,species
,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Aerobe,Saccharolytic,Variable,,,,,Laura Kutt,,ModelSEED,agri,agri.json,,,,51101.0,,,agri,species
Pseudoramibacter alactolyticus ATCC 23263,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Pseudoramibacter,Obligate anaerobe,"Saccharolytic, fermentative",Positive,,731.0,1117.0,924.0,Laura Kutt,04/18/16,Kbase,alactolyticus,alactolyticus.json,887929.0,kb|g.3589,Pseudoramibacter alactolyticus ATCC 23263 (887929.3),113287.0,,,alactolyticus,species
Prevotella albensis DSM 11370,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,555.0,1058.0,892.0,chenry,04/15/16,ModelSEED,albensis,albensis.json,1122978.0,kb|g.207235,,77768.0,,,albensis,species
,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Facultative anaerobe,"Fermentative, respiratory",Negative,,,,,Laura Kutt,,Kbase,albertii,albertii.json,,,,208962.0,2558860274.0,,albertii,species
Ruminococcus albus 7 = DSM 20455,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Obligate anaerobe,"Saccharolytic, fermentative",Positive,,723.0,1179.0,973.0,Laura Kutt,04/18/16,Kbase,albus,albus.json,697329.0,kb|g.242552,Ruminococcus albus 7 (697329.5),1264.0,,,albus,species
Providencia alcalifaciens DSM 30120,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Providencia,Facultative anaerobe,"Fermentative or respiratory, various carbohydrates and amino acids used",Negative,Pathogen,921.0,1471.0,1015.0,Ines Thiele,06/25/12,ModelSEED,alcalifaciens,alcalifaciens.json,520999.0,,Providencia alcalifaciens DSM 30120 (520999.6),126385.0,642979317.0,1.0,alcalifaciens,species
Pseudomonas alcaliphila 34,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Aerobe,Respiratory,Negative,,1224.0,1659.0,1179.0,Laura Kutt,04/19/16,Kbase,alcaliphila,alcaliphila.json,1248438.0,kb|g.25866,Pseudomonas alcaliphila 34 (1248438.3),101564.0,2551306666.0,,alcaliphila,species
Filifactor alocis ATCC 35896,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Filifactor,Obligate anaerobe,,Negative,,439.0,1015.0,814.0,Laura Kutt,04/18/16,Kbase,alocis,alocis.json,546269.0,kb|g.26890,Filifactor alocis ATCC 35896 (546269.3),143361.0,2511231077.0,,alocis,species
Bacillus altitudinis 41KF2b,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Facultative anaerobe,Respiration or fermentation of carbohydrates and central metabolism intermediates,Positive,,969.0,1603.0,1153.0,Laura Kutt,04/17/16,Kbase,altitudinis,altitudinis.json,1178544.0,kb|g.239788,,293387.0,2576861487.0,,altitudinis,species
,Bacteria,,,,,,Facultative anaerobe,,,Opportunistic pathogen,,,,Laura Kutt,,ModelSEED,alvei,alvei.json,,,,,,,alvei,species
Citrobacter amalonaticus Y19,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,Facultative anaerobe,"Fermentative, respiratory",Negative,,1318.0,1827.0,1219.0,Laura Kutt,04/18/16,ModelSEED,amalonaticus,amalonaticus.json,1261127.0,kb|g.240294,,35703.0,2585427953.0,,amalonaticus,species
Corynebacterium ammoniagenes DSM 20306,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Facultative anaerobe,Saccharolytic,Positive,Commensal,780.0,1606.0,1215.0,chenry,04/15/16,ModelSEED,ammoniagenes,ammoniagenes.json,649754.0,kb|g.2775,Corynebacterium ammoniagenes DSM 20306 (649754.3),1697.0,,,ammoniagenes,species
Corynebacterium amycolatum SK46,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Facultative anaerobe,"Saccharolytic, fermentative",Positive,Opportunistic pathogen,679.0,1308.0,1013.0,chenry,04/15/16,Kbase,amycolatum,amycolatum.json,553204.0,kb|g.2252,Corynebacterium amycolatum SK46 (553204.6),43765.0,642979306.0,,amycolatum,species
,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Aerobe,Respiration or fermentation of carbohydrates and central metabolism intermediates,Positive,,,,,,,Kbase,amyloliquefaciens,amyloliquefaciens.json,,,Bacillus amyloliquefaciens DSM7 (692420.6),1390.0,,,amyloliquefaciens,species
Lactobacillus amylolyticus DSM 11664,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Commensal,423.0,1049.0,827.0,Ines Thiele,06/29/12,Kbase,amylolyticus,amylolyticus.json,585524.0,,Lactobacillus amylolyticus DSM 11664 (585524.3),83683.0,647000263.0,2.0,amylolyticus,species
Lactobacillus amylovorus GRL 1112,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Facultative anaerobe,"Saccharolytic, fermentative or respiratory",Positive,,556.0,1048.0,817.0,Laura Kutt,04/18/16,Kbase,amylovorus,amylovorus.json,695560.0,kb|g.3001,Lactobacillus amylovorus GRL 1112 (695560.3),1604.0,,,amylovorus,species
Peptostreptococcus anaerobius DSM 2949,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcus,Obligate anaerobe,"Saccharolytic, fermentative",Positive,,594.0,1175.0,906.0,Laura Kutt,04/18/16,Kbase,anaerobius,anaerobius.json,1035196.0,kb|g.29656,Peptostreptococcus anaerobius DSM 2949 (1122950.3),1261.0,,,anaerobius,species
Aneurinibacillus aneurinilyticus ATCC 12856,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Aneurinibacillus,Aerobe,Saccharolytic,Positive,,1076.0,1510.0,1142.0,Laura Kutt,04/18/16,Kbase,aneurinilyticus,aneurinilyticus.json,649747.0,kb|g.216026,,1391.0,2563366762.0,,aneurinilyticus,species
Streptococcus anginosus 1_2_62CV,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Pathogen,539.0,885.0,719.0,Ines Thiele,06/29/12,ModelSEED,anginosus,anginosus.json,742820.0,,Streptococcus anginosus 1_2_62CV (742820.3),1328.0,649990001.0,3.0,anginosus,species
Bifidobacterium angulatum DSM 20098,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,519.0,923.0,732.0,Ines Thiele,06/29/12,Kbase,angulatum,angulatum.json,518635.0,,Bifidobacterium angulatum DSM 20098 = JCM 7096 (518635.7),1683.0,2562617143.0,1.0,angulatum,species
,Bacteria,,,,,,,,Positive,Probiotic,,,,,,Kbase,animalis,animalis.json,,,,,,,animalis,species
Ochrobactrum anthropi ATCC 49188,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum,Facultative anaerobe,Fermentative,Negative,,1188.0,1566.0,1167.0,Laura Kutt,04/18/16,ModelSEED,anthropi,anthropi.json,439375.0,kb|g.1468,Ochrobactrum anthropi ATCC 49188 (439375.7),529.0,640753038.0,,anthropi,species
Lactobacillus antri DSM 16041,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Commensal,606.0,1548.0,1118.0,Ines Thiele,09/06/12,Kbase,antri,antri.json,525309.0,,Lactobacillus antri DSM 16041 (525309.3),227943.0,645951838.0,1.0,antri,species
Aggregatibacter aphrophilus NJ8700,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Aerobe,Respiratory,Negative,,730.0,1294.0,998.0,Laura Kutt,04/19/16,Kbase,aphrophilus,aphrophilus.json,634176.0,kb|g.2675,Aggregatibacter aphrophilus NJ8700 (634176.4),732.0,644736324.0,,aphrophilus,species
Leuconostoc argentinum KCTC 3773,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Facultative anaerobe,"Saccharolytic, fermentative, nonproteolytic",Positive,,602.0,1136.0,869.0,Laura Kutt,04/18/16,Kbase,argentinum,argentinum.json,886872.0,kb|g.28083,Leuconostoc argentinum KCTC 3773 (886872.3),1246.0,651324066.0,,argentinum,species
Staphylococcus arlettae CVD059,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,,913.0,1453.0,1095.0,Laura Kutt,04/18/16,ModelSEED,arlettae,arlettae.json,1212545.0,kb|g.25560,Staphylococcus arlettae CVD059 (1212545.3),29378.0,2519899588.0,,arlettae,species
Porphyromonas asaccharolytica DSM 20707,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Obligate anaerobe,Asaccharolytic,Negative,Putative Pathogen,479.0,944.0,805.0,chenry,04/15/16,ModelSEED,asaccharolytica,asaccharolytica.json,879243.0,kb|g.3543,Porphyromonas asaccharolytica DSM 20707 (879243.3),28123.0,2504756018.0,,asaccharolytica,species
Enterobacter asburiae LF7a,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Facultative anaerobe,"Fermentative, respiratory",Negative,,1346.0,1812.0,1237.0,Laura Kutt,04/18/16,ModelSEED,asburiae,asburiae.json,640513.0,kb|g.27062,Enterobacter asburiae LF7a (640513.3),61645.0,2636415640.0,,asburiae,species
Kluyvera ascorbata  ATCC 33433,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Kluyvera,Facultative anaerobe,"Fermentative, respiratory",Negative,,1241.0,1782.0,1227.0,Laura Kutt,04/18/16,Kbase,ascorbata,ascorbata.json,1006000.0,kb|g.241367,,51288.0,2588253795.0,,ascorbata,species
Enterococcus asini ATCC 700915,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Facultative anaerobe,"Saccharolytic, fermentative",Positive,Commensal,747.0,1286.0,970.0,Laura Kutt,04/18/16,Kbase,asini,asini.json,1158606.0,kb|g.30358,Enterococcus asini ATCC 700915 (1158606.3),57732.0,2545824658.0,,asini,species
Clostridium asparagiforme DSM 15981,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Obligate anaerobe,"Fermentative, few compounds used",Positive,Commensal,1206.0,1285.0,965.0,Ines Thiele,04/20/12,ModelSEED,asparagiforme,asparagiforme.json,518636.0,,Clostridium asparagiforme DSM 15981 (518636.5),333367.0,643886112.0,1.0,asparagiforme,species
Bacillus atrophaeus ATCC 49822-1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Aerobe,Respiration or fermentation of carbohydrates and central metabolism intermediates,Positive,,1143.0,1665.0,1177.0,Laura Kutt,04/17/16,Kbase,atrophaeus,atrophaeus.json,743710.0,kb|g.3133,Bacillus atrophaeus ATCC 49822-1 (743710.3),1452.0,2547132231.0,,atrophaeus,species
Veillonella atypica ACS-049-V-Sch6,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Obligate anaerobe,"Saccharolytic, fermentative",Negative,Commensal,664.0,1121.0,896.0,Laura Kutt,04/18/16,ModelSEED,atypica,atypica.json,866776.0,kb|g.3463,Veillonella atypica ACS-049-V-Sch6 (866776.4),39777.0,,,atypica,species
Micromonospora aurantiaca ATCC 27029,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora,Microaerophile,Saccharolytic,Positive,Pathogen,1188.0,1469.0,1101.0,chenry,04/15/16,Kbase,aurantiaca,aurantiaca.json,644283.0,kb|g.2745,Micromonospora aurantiaca ATCC 27029 (644283.3),47850.0,648028042.0,,aurantiaca,species
Exiguobacterium aurantiacum DSM 6208,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillales Incertae Sedis XII,Exiguobacterium,Facultative anaerobe,"Saccharolytic, non-fermentative",Positive,,766.0,1353.0,1044.0,Laura Kutt,04/17/16,Kbase,aurantiacum,aurantiacum.json,1397694.0,kb|g.241173,,33987.0,2562617001.0,,aurantiacum,species
Staphylococcus aureus subsp. aureus USA300_FPR3757,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Opportunistic pathogen,874.0,1437.0,1061.0,,,ModelSEED,aureus,aureus.json,451515.0,kb|g.1556,Staphylococcus aureus subsp. aureus USA300_FPR3757 (451515.3),1280.0,,,aureus,species
Corynebacterium aurimucosum ATCC 700975,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Facultative anaerobe,"Saccharolytic, fermentative",Positive,,700.0,1240.0,975.0,chenry,04/15/16,Kbase,aurimucosum,aurimucosum.json,548476.0,kb|g.2212,Corynebacterium aurimucosum ATCC 700975 (548476.3),169292.0,643692018.0,,aurimucosum,species
Streptococcus australis ATCC 700641,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Commensal,640.0,1196.0,915.0,Laura Kutt,04/18/16,ModelSEED,australis,australis.json,888833.0,kb|g.3629,Streptococcus australis ATCC 700641 (888833.3),113107.0,,,australis,species
Propionibacterium avidum 44067,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,Facultative anaerobe,"Saccharolytic, fermentative",Positive,Opportunistic pathogen,783.0,1253.0,987.0,chenry,04/15/16,Kbase,avidum,avidum.json,1170318.0,kb|g.30858,Propionibacterium avidum 44067 (1170318.3),33010.0,2541047023.0,,avidum,species
,Bacteria,,,,,,,"Saccharolytic, fermentative",Positive,,,,,,,Kbase,avium,avium.json,,,,,,,avium,species
Brevundimonas bacteroides DSM 4726,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Aerobe,Respiratory,Negative,,679.0,1286.0,1011.0,Laura Kutt,04/18/16,ModelSEED,bacteroides,bacteroides.json,1121124.0,kb|g.240103,,74311.0,,,bacteroides,species
Paenibacillus barengoltzii G22,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,,,,1063.0,1505.0,1133.0,Laura Kutt,04/18/16,Kbase,barengoltzii,barengoltzii.json,1235795.0,kb|g.31355,Paenibacillus barengoltzii G22 (1235795.3),343517.0,2563367168.0,,barengoltzii,species
Clostridium bartlettii DSM 16795,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Intestinibacter,Obligate anaerobe,Ferments carbohydrates and amino acids,Positive,Commensal,682.0,1381.0,1023.0,Ines Thiele,04/20/12,ModelSEED,bartlettii,bartlettii.json,445973.0,,Clostridium bartlettii DSM 16795 (445973.7),261299.0,641736113.0,5.0,bartlettii,species
Acinetobacter baumannii AB0057,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Aerobe,Respiratory,Negative,,1021.0,1593.0,1181.0,,,Kbase,baumannii,baumannii.json,480119.0,kb|g.1744,Acinetobacter baumannii AB0057 (480119.5),470.0,,,baumannii,species
Clostridium beijerinckii NCIMB 8052,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Anaerobe,"Saccharolytic, fermentative",Positive,,1223.0,1476.0,1091.0,Laura Kutt,04/18/16,ModelSEED,beijerinckii,beijerinckii.json,290402.0,kb|g.689,Clostridium beijerincki beijerinckii NCIMB 8052 (290402.34),1520.0,640753016.0,,beijerinckii,species
Dyadobacter beijingensis DSM 21582,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,Aerobe,"Saccharolytic, fermentative",Negative,,1020.0,1463.0,1114.0,,,ModelSEED,beijingensis,beijingensis.json,1121482.0,kb|g.29596,Dyadobacter beijingensis DSM 21582 (1121482.3),365489.0,,,beijingensis,species
Yersinia bercovieri ATCC 43970,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Yersinia,Facultative anaerobe,"Fermentative, respiratory",Negative,,1124.0,1618.0,1161.0,Laura Kutt,04/18/16,Kbase,bercovieri,bercovieri.json,349968.0,kb|g.1013,Yersinia bercovieri ATCC 43970 (349968.3),634.0,638341238.0,,bercovieri,species
Ruminococcus bicirculans 80/3,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,532.0,1032.0,816.0,Eugen Bauer,06/01/14,Kbase,bicirculans,bicirculans.json,1160721.0,,,1160721.0,2585427614.0,,bicirculans,species
Clostridium bifermentans ATCC 19299,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Paraclostridium,Obligate anaerobe,"Saccharolytic, fermentative, proteolytic",Positive,,767.0,1256.0,974.0,Laura Kutt,04/18/16,ModelSEED,bifermentans,bifermentans.json,1233170.0,kb|g.208271,,1490.0,,,bifermentans,species
,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,,,,,,Kbase,bifidum,bifidum.json,,,,1681.0,,,bifidum,species
Eubacterium biforme DSM 3989,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,547.0,1585.0,1100.0,Ines Thiele,09/06/12,Kbase,biforme,biforme.json,518637.0,,Eubacterium biforme DSM 3989 (518637.5),,642979360.0,1.0,biforme,species
Helicobacter bilis ATCC 43879,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Microaerophile,"Strictly respiratory, asaccharolytic",Negative,Opportunistic pathogen,523.0,981.0,834.0,Ines Thiele,09/06/12,Kbase,bilis,bilis.json,613026.0,,Helicobacter bilis ATCC 43879 (613026.4),37372.0,2562617155.0,5.0,bilis,species
Afipia birgiae 34632,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Alfipia,Obligate aerobe,Respiratory,Negative,,1178.0,1482.0,1113.0,Laura Kutt,04/18/16,Kbase,birgiae,birgiae.json,1197906.0,kb|g.25402,Afipia birgiae 34632 (1197906.5),,2551306146.0,,birgiae,species
Prevotella bivia DSM 20514,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,514.0,1039.0,827.0,Laura Kutt,04/17/16,Kbase,bivia,bivia.json,868129.0,kb|g.27853,Prevotella bivia DSM 20514 (868129.3),28125.0,,,bivia,species
Clostridium bolteae ATCC BAA-613,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,1298.0,1932.0,1300.0,Ines Thiele,04/20/12,ModelSEED,bolteae,bolteae.json,411902.0,,Clostridium bolteae ATCC BAA-613 (411902.9),208479.0,641380428.0,5.0,bolteae,species
Brevibacillus borstelensis AK1,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Aerobe,Saccharolytic,Variable,,1193.0,1540.0,1139.0,Laura Kutt,04/18/16,ModelSEED,borstelensis,borstelensis.json,1300222.0,kb|g.31926,Brevibacillus borstelensis AK1 (1300222.3),45462.0,2545824688.0,,borstelensis,species
,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Anaerobe,,Positive,,,,,Laura Kutt,,ModelSEED,botulinum,botulinum.json,,,,1491.0,,,botulinum,species
Bifidobacterium boum DSM 20432,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,"Facultative anaerobe, air+CO2","Saccharolytic, fermentative",Positive,Probiotic,516.0,1147.0,899.0,chenry,04/15/16,Kbase,boum,boum.json,1410645.0,kb|g.239935,,78343.0,,,boum,species
Eubacterium brachy ATCC 33089,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Incertae Sedis XIII,Eubacterium,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,383.0,973.0,795.0,Laura Kutt,04/18/16,Kbase,brachy,brachy.json,1321814.0,kb|g.209880,,35517.0,2558860285.0,,brachy,species
,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,,,,Eugen Bauer,,Kbase,breve,breve.json,,,,1685.0,,1.0,breve,species
,Bacteria,,,,,,,,,,,,,,,,brevis,brevis.json,,,,,,,brevis,species
