,Reaction,Name,ModelSEED_id,MetaNetX,KEGG_id,ecNumber,BIGG_id,Substrates,KEGG_id2,Substrate Name,Substrate SMILE
73,3HACPR1,3-hydroxyacyl-ACP-dehydratase (FabZ),None,None,None,None,None,['3hgACPm[c]'],None,['3-hydroxyglutaryl-ACP methyl ester'],[None]
74,3HACPR2,3-hydroxyacyl-ACP-dehydratase (FabZ),None,None,None,None,None,['3hpACPm[c]'],None,['3-hydroxypimeloyl-ACP methyl ester'],[None]
75,3HAD10M12,10-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase,rxn05373,MNXR27647,None,4.2.1.59,None,['10m3hddcaACP[c]'],None,['10-methyl-3-hydroxy-dodecanoyl-ACP'],[None]
76,3HAD11M12,11-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase,rxn05398,MNXR27672,None,4.2.1.59,None,['11m3hddcaACP[c]'],None,['11-methyl-3-hydroxy-dodecanoyl-ACP'],[None]
77,3HAD12M14,12-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase,rxn05377,MNXR27651,None,4.2.1.59,None,['12m3hmyrsACP[c]'],None,['12-methyl-3-hydroxy-tetra-decanoyl-ACP'],[None]
78,3HAD13M14,13-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase,rxn05402,MNXR27676,None,4.2.1.59,None,['13m3hmyrsACP[c]'],None,['13-methyl-3-hydroxy-tetra-decanoyl-ACP'],[None]
79,3HAD14M16,14-methyl-3-hydroxy-hexa-decanoyl-ACP hydro-lyase,rxn05381,MNXR27655,None,4.2.1.59,None,['14m3hpalmACP[c]'],None,['14-methyl-3-hydroxy-hexa-decanoyl-ACP'],[None]
80,3HAD15M16,15-methyl-3-hydroxy-hexa-decanoyl-ACP hydro-lyase,rxn05406,MNXR27680,None,4.2.1.59,None,['15m3hpalmACP[c]'],None,['15-methyl-3-hydroxy-hexa-decanoyl-ACP'],[None]
81,3HAD4M6,4-methyl-3-hydroxy-hexanoyl-ACP hydro-lyase,rxn05361,MNXR27635,None,4.2.1.59,None,['4m3hhexACP[c]'],None,['4-methyl-3-hydroxy-hexanoyl-ACP'],[None]
82,3HAD5M6,5-methyl-3-hydroxy-hexanoyl-ACP hydro-lyase,rxn05386,MNXR27660,None,4.2.1.59,None,['5m3hhexACP[c]'],None,['5-methyl-3-hydroxy-hexanoyl-ACP'],[None]
83,3HAD6M8,6-methyl-3-hydroxy-octanoyl-ACP hydro-lyase,rxn05365,MNXR27639,None,4.2.1.59,None,['6m3hocACP[c]'],None,['6-methyl-3-hydroxy-octanoyl-ACP'],[None]
84,3HAD7M8,7-methyl-3-hydroxy-octanoyl-ACP hydro-lyase,rxn05390,MNXR27664,None,4.2.1.59,None,['7m3hocACP[c]'],None,['7-methyl-3-hydroxy-octanoyl-ACP'],[None]
85,3HAD8M10,8-methyl-3-hydroxy-decanoyl-ACP hydro-lyase,rxn05369,MNXR27643,None,4.2.1.59,None,['8m3hdcaACP[c]'],None,['8-methyl-3-hydroxy-decanoyl-ACP'],[None]
86,3HAD9M10,9-methyl-3-hydroxy-decanoyl-ACP hydro-lyase,rxn05394,MNXR27668,None,4.2.1.59,None,['9m3hdcaACP[c]'],None,['9-methyl-3-hydroxy-decanoyl-ACP'],[None]
87,3HBCOAE,(S)-3-Hydroxybutanoyl-coa[c] 3-epimerase,rxn02345,MNXR6494,None,5.1.2.3,None,['3hbcoa[c]'],R03276,['(S)-3-hydroxybutanoyl-CoA(4-)'],['CC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O)O']
88,3HCINNMH,3-hydroxycinnamate hydroxylase,rxn04602,MNXR156,None,1.14.13.-,None,"['3hcinnm[c]', 'h[c]', 'nadh[c]', 'o2[c]']",R06787,"['3-hydroxycinnamic acid', 'proton', 'Nicotinamide adenine dinucleotide - reduced', 'O2']","['C1=CC(=CC(=C1)O)C=CC(=O)O', '[H+]', None, 'O=O']"
89,3HIBUPGLU_St2pp,"Glucuronate transport in via proton symport (in),3-hydroxy S-ibuprofen-glucuronide, periplasmatic",None,None,None,None,None,"['3hibupglu_S[p]', 'h[p]']",None,"['3-hydroxy S-ibuprofen-glucuronide', 'proton']","[None, '[H+]']"
90,3HIBUPGLU_Stex,3-hydroxy S-ibuprofen-glucuronide diffusion extracellular to periplasm,None,None,None,None,None,['3hibupglu_S[e]'],None,['3-hydroxy S-ibuprofen-glucuronide'],[None]
91,3HIBUP_S_GLCAASE,3-hydroxy S-ibuprofen beta-glucuronidase,None,None,None,None,None,"['3hibupglu_S[c]', 'h2o[c]']",None,"['3-hydroxy S-ibuprofen-glucuronide', 'Water']","[None, 'O']"
92,3HIBUP_Stepp,"beta-glucuronidase reaction product export,3-hydroxy S-ibuprofen, periplasmatic",None,None,None,None,None,['3hibup_S[c]'],None,['3-hydroxy S-ibuprofen'],[None]
93,3HIBUP_Stex,3-hydroxy S-ibuprofen diffusion extracellular to periplasm,None,None,None,None,None,['3hibup_S[e]'],None,['3-hydroxy S-ibuprofen'],[None]
94,3HPCOAHL,3-Hydroxypropionyl-CoA hydro-lyase,rxn02181,None,None,None,None,['3hpcoa[c]'],R03045,['3-hydroxypropanoyl-CoA(4-)'],['CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])C(C(=O)NCCC(=O)NCCSC(=O)CCO)O']
